Open,Volume,Close
184.267812823161,304285,206.686553955078
201.091820152549,137064,203.411346435547
202.087329094955,159993,203.351623535156
204.078332480854,109217,194.670822143555
198.095360186736,40982,194.650909423828
198.871852376538,51022,192.789321899414
193.12778482286,65883,186.338439941406
186.338439941406,0,186.338439941406
198.105308329198,147127,200.245635986328
201.091823827793,75022,200.205825805664
201.738888692981,68420,203.262008666992
207.06485530939,145695,203.281936645508
205.073837648924,145681,201.350646972656
201.350647281813,78074,194.282577514648
190.738580449032,128974,191.554885864258
193.22734652991,115354,190.181091308594
190.141285645774,164514,205.88020324707
206.069340345173,73293,206.387908935547
206.387906479523,74816,206.417770385742
203.690093387846,146828,197.378601074219
179.190740490159,172631,189.155731201172
197.109814579332,84100,190.270706176758
190.041719198066,45504,189.464340209961
195.716106581573,43483,194.272613525391
198.214819066865,84307,203.719955444336
204.227663625604,58695,205.312774658203
206.965299303728,333590,217.398193359375
219.30955499693,94696,217.637100219727
217.019892978652,277000,228.040130615234
228.866378142897,98360,226.457260131836
226.974929902459,123930,229.762344360352
230.956953905915,158776,217.776473999023
219.329471012776,93335,218.732162475586
217.517641709854,162691,221.390151977539
221.39014505758,113893,209.573516845703
211.245963975982,48685,207.064849853516
209.245000136002,96338,216.621688842773
216.621700801984,103828,211.086685180664
206.069344602701,98506,214.142883300781
216.28321397101,52999,208.159912109375
204.078335146442,189941,213.973648071289
221.350340242537,182533,225.830108642578
227.522460755359,92233,220.275192260742
220.275195496352,62521,219.677886962891
221.350342618122,47699,223.012832641602
225.232792209354,90955,221.091491699219
221.091504463647,336076,239.518295288086
243.360940063566,207448,235.078338623047
236.830411828384,65739,234.252059936523
234.550711813939,170752,241.160858154297
246.875063937057,137333,242.007049560547
237.338132234008,165883,235.695541381836
237.915529190452,118879,232.68913269043
231.952457739055,81415,229.672760009766
231.106258801311,68709,228.358673095703
228.916152985516,73770,224.824630737305
223.192015260156,234470,221.350341796875
221.350334558605,223151,219.020843505859
220.105956323557,122286,216.58186340332
218.413588426476,426424,228.279037475586
228.298960266482,167624,226.317901611328
228.866382851249,117867,227.144165039063
229.463692425314,122553,223.042694091797
222.32593270071,324681,233.41584777832
233.415846332018,92405,227.114303588867
224.187511172215,112205,223.679809570313
225.780335734997,207251,237.656692504883
243.888547322161,375161,235.924514770508
233.545267864387,65322,231.932540893555
231.932543925314,92236,224.277114868164
224.277113535957,98100,222.992919921875
222.992917474123,87153,221.907821655273
225.660850397427,97583,227.243713378906
226.974924817803,66339,230.568695068359
231.454694070514,59192,229.254623413086
232.947949872989,103324,228.328811645508
225.183025913417,147501,230.240188598633
232.549757201373,81262,230.897216796875
229.26458648455,127756,227.044616699219
225.979431693676,116453,224.486175537109
223.14222821996,175606,227.592132568359
227.572244633109,119324,222.624588012695
222.624579790731,76075,222.166641235352
225.92964475455,101018,219.757522583008
221.997410745537,251129,226.586685180664
225.481677446151,91872,222.654449462891
222.992921552736,57629,222.41552734375
224.635495862327,93691,223.918731689453
226.974929413047,4013967,258.582183837891
258.731509310614,517794,253.863494873047
255.725091054969,1441882,263.798614501953
265.351592853905,486773,257.357696533203
259.926108641529,1055797,273.046844482422
275.75463078977,728200,276.779998779297
275,157093,270.329986572266
270.329986572266,375963,268.559997558594
267.019989013672,585661,239.470001220703
236.5,1090171,253.300003051758
254.300003051758,190326,244.850006103516
239.949996948242,371909,234.470001220703
234.410003662109,205134,235.649993896484
237.880004882813,258114,244.330001831055
244.330001831055,258339,236.149993896484
238,132660,232.729995727539
231.5,126834,234.039993286133
234.5,94544,231.850006103516
231.5,94942,231.929992675781
231.929992675781,90253,230.779998779297
231.699996948242,73115,230.020004272461
230.949996948242,57648,228.649993896484
230.330001831055,132356,227.399993896484
227.5,295207,240.800003051758
239.899993896484,86508,237.399993896484
237.600006103516,114032,232.330001831055
233,144509,234.360000610352
235.089996337891,92170,233.559997558594
233.559997558594,79770,228.910003662109
228.020004272461,70930,230.570007324219
230.75,69878,230.869995117188
231.800003051758,106066,231.979995727539
233.130004882813,57705,232.559997558594
234.899993896484,141810,232.509994506836
232.589996337891,85583,233.270004272461
235.600006103516,102139,231.410003662109
231.990005493164,112074,230.020004272461
230.529998779297,105914,227.020004272461
228.5,106283,226.660003662109
227.550003051758,53581,227.369995117188
228.850006103516,76601,226.580001831055
227.110000610352,137689,225.270004272461
225.979995727539,110547,225.669998168945
226.789993286133,75143,227.369995117188
227.5,275039,230.330001831055
229,64790,230.509994506836
230,192126,228.350006103516
228.5,73388,226.240005493164
228,94523,227.740005493164
227.199996948242,84461,225.339996337891
225.339996337891,102455,220.779998779297
220,164732,210.440002441406
211,171507,207.160003662109
208.350006103516,117495,213.990005493164
215.990005493164,96502,217.169998168945
217.179992675781,108525,212.660003662109
213.050003051758,65943,210.759994506836
212.649993896484,85908,212.850006103516
